-2211,-12
-2785,-10
-1944,-8
-106,-8
1796,-9
2792,-10
2379,-9
751,-11
-1248,-11
-2591,-11
-2627,-11
-1325,-12
668,-12
2322,-9
2808,-10
1879,-8
-24,-10
-1883,-8
-2774,-12
-2269,-10
-594,-11
1386,-13
2672,-11
2611,-9
1222,-8
-793,-13
-2371,-11
-2750,-10
-1733,-9
177,-7
2005,-6
2825,-11
2221,-11
475,-12
-1494,-10
-2682,-10
-2516,-7
-1068,-9
941,-9
2470,-10
2763,-10
1651,-7
-303,-9
-2081,-10
-2792,-10
-2093,-11
-314,-8
1629,-11
2752,-12
2492,-8
956,-11
-1059,-11
-2506,-10
-2690,-7
-1505,-9
462,-10
2194,-10
2824,-12
2027,-9
190,-9
-1727,-7
-2744,-12
-2386,-8
-799,-9
1200,-10
2595,-7
2685,-9
1410,-10
-587,-13
-2255,-12
-2776,-9
-1896,-8
-33,-10
1850,-8
2798,-12
2343,-11
683,-9
-1311,-11
-2612,-8
-2599,-6
-1256,-12
739,-9
2361,-9
2799,-8
1818,-8
-92,-11
-1934,-9
-2781,-8
-2227,-9
-528,-9
1451,-10
2690,-11
2586,-10
1157,-9
-856,-8
-2410,-8
-2740,-10
-1678,-13
249,-8
2054,-8
2823,-10
2174,-12
404,-9
-1555,-9
-2699,-13
-2488,-12
-1000,-13
1005,-9
2502,-7
2744,-11
1593,-10
-374,-12
-2124,-13
-2788,-11
-2044,-8
-248,-9
1685,-10
2767,-14
2456,-8
887,-12
-1124,-11
-2538,-7
-2669,-8
-1445,-8
533,-10
2239,-11
2821,-10
1981,-9
121,-11
-1779,-8
-2758,-9
-2348,-8
-734,-10
1264,-11
2621,-11
2661,-9
1348,-10
-655,-10
-2296,-12
-2772,-9
-1844,-8
34,-9
1900,-9
2810,-10
2300,-13
609,-12
-1374,-9
-2637,-9
-2576,-9
-1197,-10
806,-8
2394,-10
2784,-7
1768,-10
-165,-9
-1984,-10
-2788,-9
-2186,-9
-455,-10
1509,-12
2712,-12
2554,-11
1091,-13
-923,-10
-2447,-12
-2727,-10
-1623,-7
321,-11
2102,-10
2825,-12
2128,-10
333,-9
-1610,-8
-2715,-10
-2457,-9
-932,-9
1068,-10
2535,-11
